	classnumber	day_of_year	genus	lat	lon	name	precipProbability	precipProbabilityPreviousDay	precipProbabilityPreviousDay2	precipProbabilityPreviousDay7	pressure	temperatureMax	temperatureMaxPrevDay1	temperatureMaxPrevDay2	temperatureMaxPrevDay7	temperatureMin	temperatureMinPrevDay1	temperatureMinPrevDay2	temperatureMinPrevDay7	time_observed_at
23250214	4	116	Crotalus	32.9585191794	-116.4058287443	Crotalus	0.0	0.0	0.0	0.0	1012.59	88.1	90.33	87.44	88.46	66.3	67.92	66.25	64.79	2019-04-26 15:54:46
23083102	4	115	Crotalus	33.0527528333	-117.0854111667	Crotalus	0.0	0.0	0.0	0.01	1014.65	75.23	75.78	70.67	77.29	56.58	56.8	54.39	54.85	2019-04-25 17:50:22
22827126	4	111	Crotalus	32.27002	-112.7470783333	Crotalus	0.0	0.0	0.0	0.0	1009.68	84.48	88.06	95.65	83.11	58.68	60.73	57.4	52.68	2019-04-21 15:46:05
24707685	4	109	Crotalus	19.6689436868	-101.1923572666	Crotalus	0.01	0.0	0.0	0.0	1012.54	78.98	85.3	84.56	77.79	52.29	49.09	46.83	46.7	2019-04-19 21:01:08
22683478	4	108	Crotalus	35.4093167553	-80.5884072325	Crotalus	0.0	0.01	0.0	0.03	1014.83	78.82	80.39	72.48	78.57	60.09	46.59	38.09	52.31	2019-04-19 00:14:18
22621727	4	107	Crotalus	30.22996039	-97.60453316	Crotalus	0.48	0.08	0.0	0.01	1008.06	80.3	79.76	80.5	90.4	69.73	62.69	49.97	60.27	2019-04-17 19:24:23
24055261	4	104	Crotalus	-16.577876937	-68.0828862637	Crotalus	0.34	0.25	0.65	0.24	1012.63	71.85	69.29	65.44	65.13	35.48	38.89	45.68	46.57	2019-04-14 14:02:21
22212309	4	98	Crotalus	38.6589966667	-121.1945583333	Crotalus	0.72	0.0	0.29	1.0	1021.38	74.03	74.79	68.62	68.19	56.37	54.16	51.98	54.09	2019-04-08 21:20:04
22197185	4	98	Crotalus	32.6255986623	-102.388601408	Crotalus	0.05	0.03	0.53	0.0	1014.37	85.53	81.35	79.79	62.13	47.18	50.84	53.6	33.79	2019-04-08 11:19:16
22003787	4	93	Crotalus	20.7266998291	-103.3067321777	Crotalus	0.01	0.01	0.01	0.04	1014.88	84.72	85.2	86.42	86.93	54.98	50.69	54.67	57.87	2019-04-03 23:08:08
